Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,FirstItemName,FirstItemPercent,SecondItemName,SecondItemPercent,ThirdItemName,ThirdItemPercent,FourthItemName,FourthItemPercent,FifthItemName,FifthItemPercent,SixthItemName,SixthItemPercent,SeventhItemName,SeventhItemPercent
Gnar,Top,0.4828,0.0444,0.0027,46.65,5.26,5.88,7.62,2.58,21548,28845,2627,178.5,1.97,3.53,11977,31,The Black Cleaver,20,Sunfire Cape,10,Frozen Mallet,10,Randuin's Omen,5,Spirit Visage,5,Enchantment:Alacrity,5,Other,
Gragas,Jungle,0.4992,0.1339,0.0775,21.45,4.78,4.82,10.45,2.5,15588,32079,11541,41.2,9.6,63.94,11565,10,Enchantment:Runic Echoes,14.78,Iceborn Gauntlet,9.57,Boots of Swiftness,8.7,Sunfire Cape,7.83,Spectre's Cowl,6.96,Spirit Visage,6.09,Other,
Graves,ADC,0.5352,0.0308,0.1068,39.51,7.33,5.57,7.26,3.6,22852,22279,4654,205.1,3.4,9.31,13364,5,Enchantment:Warrior,18,Phantom Dancer,10,Death's Dance,10,Boots of Swiftness,9,Maw of Malmortius,8,Hexdrinker,5,Other,
Hecarim,Jungle,0.4965,0.0278,0.0022,33.65,7.28,5.59,8.91,3.6,17407,35953,11864,46.9,8.94,65.98,12339,17,Trinity Force,13.04,Enchantment:Warrior,8.7,Sunfire Cape,8.7,Corrupting Potion,8.7,Ruby Crystal,4.35,Warden's Mail,4.35,Other,
Heimerdinger,Top,0.4902,0.0068,0.0012,148.88,4.07,6.05,6.22,1.82,25323,20151,1301,203.8,1.38,2.75,12314,45,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Illaoi,Top,0.458,0.025,0.0271,19.89,4.96,6.64,6.02,2.24,24565,33642,6550,193.8,1.44,2.67,12184,32,Boots of Speed,15,Spirit Visage,12,Long Sword,10,Corrupting Potion,8,Ruby Crystal,5,Faerie Charm,4,Other,
Irelia,Top,0.4761,0.0474,0.0063,74.69,6.73,6.07,5.66,3.15,19189,30632,8362,187.7,1.99,3.2,12349,29,Trinity Force,20.83,Mercury's Treads,16.67,Corrupting Potion,16.67,Spirit Visage,8.33,Hexdrinker,8.33,Doran's Blade,8.33,Other,
Janna,Support,0.5338,0.1855,0.012,80.94,0.82,4.26,14.44,0.23,4899,15503,5945,15,0.11,0.09,9349,1,Ionian Boots of Lucidity,11.46,Frost Queen's Claim,9.38,Locket of the Iron Solari,8.33,Sightstone,8.33,Eye of the Watchers,8.33,Mikael's Crucible,5.21,Other,
Jarvan IV,Jungle,0.487,0.0359,0.0077,24.95,5.74,5.76,11.75,2.74,15036,29857,6618,45.2,7.36,59.97,11782,43,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Jax,Jungle,0.5257,0.0424,0.1408,26.76,7.01,6.11,6.11,3.19,16511,27901,7019,53.6,12.42,70.87,12769,12,Guinsoo's Rageblade,16.67,Sterak's Gage,8.33,Blade of the Ruined King,8.33,Trinity Force,8.33,Corrupting Potion,8.33,Hextech Gunblade,8.33,Other,
Jayce,Top,0.4718,0.0194,0.0025,40.36,6.62,6.31,6.68,3.05,24117,21899,1826,189.2,2.44,5.79,12568,39,Doran's Blade,18.18,Muramana,9.09,Last Whisper,9.09,Youmuu's Ghostblade,9.09,Mercury's Treads,9.09,Enchantment:Alacrity,9.09,Other,
Jhin,ADC,0.5219,0.2236,0.0839,18.12,7.55,5.51,8.44,3.72,24339,17704,2825,190.2,2,6.32,12953,1,Essence Reaver,15.79,Rapid Firecannon,15.79,Boots of Swiftness,15.79,Doran's Blade,15.79,Infinity Edge,10.53,Last Whisper,5.26,Other,
Jinx,ADC,0.5172,0.0928,0.001,82.45,7.17,5.97,7.43,3.46,21699,18575,2676,196.6,2.78,8.74,12997,8,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Kalista,ADC,0.4638,0.0662,0.0104,47.59,6.88,6.43,6.62,3.17,19169,21281,3769,185.5,3.3,8.87,12488,18,Blade of the Ruined King,14.81,Runaan's Hurricane,14.81,Doran's Blade,11.11,Boots of Speed,7.41,Berserker's Greaves,3.7,Dagger,3.7,Other,
Karma,Support,0.4828,0.048,0.003,29.51,2.23,5.78,12.83,0.88,13703,16662,1474,33.6,0.61,0.96,10362,17,Doran's Ring,11.11,Frost Queen's Claim,8.33,Ionian Boots of Lucidity,8.33,Blasting Wand,6.94,Rabadon's Deathcap,5.56,Morellonomicon,5.56,Other,
Karthus,Middle,0.4876,0.0074,0.0004,39.27,7.38,7.02,8.86,2.85,29876,22583,2257,191.2,2.14,13.02,13171,27,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
